,date,state,n_killed,n_injured
164620,2017-01-01,Illinois,0,2
164621,2017-01-01,Georgia,0,0
164622,2017-01-01,Rhode Island,0,0
164623,2017-01-01,Kansas,0,3
164624,2017-01-01,New York,1,0
164625,2017-01-01,Florida,0,0
164626,2017-01-01,Florida,0,0
164627,2017-01-01,Florida,0,0
164628,2017-01-01,Indiana,0,1
164629,2017-01-01,Texas,1,0
164630,2017-01-01,Florida,0,0
164631,2017-01-01,Oregon,0,0
164632,2017-01-01,Virginia,0,1
164633,2017-01-01,Florida,0,0
164634,2017-01-01,North Dakota,0,0
164635,2017-01-01,New Jersey,0,1
164636,2017-01-01,New York,0,1
164637,2017-01-01,New York,0,1
164638,2017-01-01,New York,0,1
164639,2017-01-01,Maryland,0,0
164640,2017-01-01,Alabama,1,0
164641,2017-01-01,District of Columbia,0,1
164642,2017-01-01,New York,1,0
164643,2017-01-01,New Jersey,0,0
164644,2017-01-01,Illinois,0,0
164645,2017-01-01,Massachusetts,0,2
164646,2017-01-01,Illinois,0,0
164647,2017-01-01,Mississippi,0,1
164648,2017-01-01,Michigan,0,0
164649,2017-01-01,Arizona,0,1
164650,2017-01-01,Arizona,0,1
164651,2017-01-01,Ohio,1,0
164652,2017-01-01,Virginia,0,0
164653,2017-01-01,Pennsylvania,0,0
164654,2017-01-01,New York,0,0
164655,2017-01-01,Texas,0,1
164656,2017-01-01,New York,0,0
164657,2017-01-01,New Jersey,0,0
164658,2017-01-01,Tennessee,0,0
164659,2017-01-01,Massachusetts,0,2
164660,2017-01-01,Missouri,0,1
164661,2017-01-01,Ohio,1,0
164662,2017-01-01,Missouri,0,0
164663,2017-01-01,Illinois,0,1
164664,2017-01-01,Washington,1,0
164665,2017-01-01,Tennessee,1,0
164666,2017-01-01,North Carolina,2,1
164667,2017-01-01,Virginia,1,0
164668,2017-01-01,Ohio,1,0
164669,2017-01-01,Louisiana,1,0
164670,2017-01-01,Illinois,0,1
164671,2017-01-01,California,0,0
164672,2017-01-01,Louisiana,1,0
164673,2017-01-01,California,0,0
164674,2017-01-01,Florida,0,0
164675,2017-01-01,Arkansas,0,3
164676,2017-01-01,Virginia,0,0
164677,2017-01-01,Illinois,0,1
164678,2017-01-01,Illinois,0,1
164679,2017-01-01,Illinois,0,1
164680,2017-01-01,Texas,1,0
164681,2017-01-01,Illinois,0,1
164682,2017-01-01,Illinois,0,1
164683,2017-01-01,Illinois,0,1
164684,2017-01-01,Texas,0,1
164685,2017-01-01,Pennsylvania,1,0
164686,2017-01-01,Texas,0,0
164687,2017-01-01,Virginia,0,1
164688,2017-01-01,Arkansas,0,2
164689,2017-01-01,Ohio,0,1
164690,2017-01-01,Illinois,1,0
164691,2017-01-01,Ohio,0,1
164692,2017-01-01,Texas,0,1
164693,2017-01-01,Ohio,0,1
164694,2017-01-01,South Carolina,0,1
164695,2017-01-01,West Virginia,0,0
164697,2017-01-01,West Virginia,0,0
164698,2017-01-01,Tennessee,0,0
164699,2017-01-01,Illinois,0,0
164700,2017-01-01,Florida,0,0
164701,2017-01-01,Kansas,0,0
164702,2017-01-01,Massachusetts,0,0
164703,2017-01-01,Massachusetts,0,0
164704,2017-01-01,Missouri,1,0
164705,2017-01-01,Mississippi,0,1
164706,2017-01-01,Florida,0,1
164707,2017-01-01,Tennessee,1,0
164708,2017-01-01,Ohio,0,1
164709,2017-01-01,Virginia,0,0
164710,2017-01-01,North Carolina,0,2
164711,2017-01-01,Ohio,1,1
164712,2017-01-01,Illinois,0,1
164713,2017-01-01,Illinois,0,1
164714,2017-01-01,Illinois,0,0
164715,2017-01-01,Mississippi,0,2
164716,2017-01-01,Mississippi,1,0
164717,2017-01-01,Illinois,0,1
164718,2017-01-01,Illinois,0,3
164719,2017-01-01,Massachusetts,0,0
164720,2017-01-01,Illinois,0,1
164721,2017-01-01,Alabama,1,0
164722,2017-01-01,Texas,0,0
164723,2017-01-01,Illinois,0,3
164724,2017-01-01,Louisiana,0,1
164725,2017-01-01,Oregon,0,1
164726,2017-01-01,Missouri,0,0
164727,2017-01-01,Missouri,0,1
164728,2017-01-01,Illinois,0,0
164729,2017-01-01,Texas,0,0
164730,2017-01-01,New York,0,0
164731,2017-01-01,Illinois,0,1
164732,2017-01-01,California,0,0
164733,2017-01-01,Texas,0,1
164734,2017-01-01,Illinois,0,0
164735,2017-01-01,Massachusetts,0,0
164736,2017-01-01,Illinois,0,0
164737,2017-01-01,Illinois,0,0
164738,2017-01-01,Illinois,0,0
164739,2017-01-01,Texas,0,1
164740,2017-01-01,Texas,1,1
164741,2017-01-01,Tennessee,0,1
164742,2017-01-01,Illinois,0,0
164743,2017-01-01,Texas,0,0
164744,2017-01-01,Texas,0,0
164745,2017-01-01,Maryland,2,1
164746,2017-01-01,Illinois,0,0
164747,2017-01-01,Illinois,0,0
164748,2017-01-01,Illinois,0,0
164749,2017-01-01,Illinois,0,0
164750,2017-01-01,New York,0,1
164751,2017-01-01,Illinois,0,0
164752,2017-01-01,Indiana,0,1
164753,2017-01-01,Pennsylvania,0,0
164754,2017-01-01,Illinois,0,0
164755,2017-01-01,Virginia,1,0
164756,2017-01-01,North Carolina,0,1
164757,2017-01-01,California,1,0
164758,2017-01-01,California,0,0
164759,2017-01-01,Illinois,0,0
164760,2017-01-01,Georgia,0,2
164761,2017-01-01,Illinois,0,0
164762,2017-01-01,Arkansas,0,0
164763,2017-01-01,Illinois,0,0
164765,2017-01-01,Indiana,0,1
164766,2017-01-01,Florida,0,1
164767,2017-01-01,Illinois,1,4
164768,2017-01-01,Indiana,0,0
164769,2017-01-01,Pennsylvania,0,0
164770,2017-01-01,Florida,2,0
164771,2017-01-01,New York,1,0
164772,2017-01-01,Illinois,0,1
164773,2017-01-01,South Carolina,1,0
164774,2017-01-01,New York,0,1
164775,2017-01-01,Illinois,0,0
164776,2017-01-01,Kentucky,0,1
164777,2017-01-01,Ohio,0,1
164778,2017-01-01,Michigan,0,0
164779,2017-01-01,Wisconsin,1,0
164780,2017-01-01,Illinois,2,0
164781,2017-01-01,Florida,0,0
164782,2017-01-01,Florida,0,0
164783,2017-01-01,Florida,0,0
164784,2017-01-01,California,0,0
164785,2017-01-01,Florida,0,0
164786,2017-01-01,Florida,0,0
164787,2017-01-01,Florida,0,0
164788,2017-01-01,California,0,0
164789,2017-01-01,Georgia,0,2
164790,2017-01-01,New York,0,1
164791,2017-01-01,Florida,0,0
164792,2017-01-01,Florida,1,0
164793,2017-01-01,Kentucky,0,2
164794,2017-01-01,Florida,0,0
164795,2017-01-01,Kansas,0,0
164796,2017-01-01,West Virginia,0,0
164797,2017-01-01,Kansas,0,0
164798,2017-01-01,Louisiana,0,1
164799,2017-01-01,Pennsylvania,0,1
164800,2017-01-01,Missouri,1,0
164801,2017-01-01,Kentucky,0,0
164802,2017-01-01,Idaho,1,0
164803,2017-01-01,Indiana,0,1
164804,2017-01-01,Texas,0,0
164805,2017-01-01,Georgia,1,0
164806,2017-01-01,Michigan,0,1
164807,2017-01-01,Idaho,0,0
164808,2017-01-01,Virginia,0,1
164809,2017-01-01,Florida,0,0
164810,2017-01-01,Kentucky,0,0
164811,2017-01-01,California,0,1
164812,2017-01-01,Alaska,0,1
164813,2017-01-01,Massachusetts,0,0
164814,2017-01-01,Mississippi,0,0
164815,2017-01-01,California,0,1
164816,2017-01-02,Virginia,0,1
164817,2017-01-02,Louisiana,0,0
164818,2017-01-02,Illinois,1,0
164819,2017-01-02,Virginia,0,2
164820,2017-01-02,Massachusetts,0,1
164821,2017-01-02,South Carolina,0,1
164822,2017-01-02,South Carolina,0,1
164823,2017-01-02,Illinois,1,0
164824,2017-01-02,Virginia,0,0
164825,2017-01-02,Michigan,1,0
164826,2017-01-02,California,0,0
164827,2017-01-02,North Carolina,1,0
164828,2017-01-02,North Carolina,0,1
164829,2017-01-02,Arizona,1,0
164830,2017-01-02,Illinois,0,1
164831,2017-01-02,Illinois,0,1
164833,2017-01-02,Louisiana,0,1
164834,2017-01-02,Maryland,1,0
164835,2017-01-02,Illinois,0,0
164836,2017-01-02,Kentucky,0,0
164837,2017-01-02,Delaware,0,1
164838,2017-01-02,Pennsylvania,1,1
164839,2017-01-02,North Carolina,0,1
164840,2017-01-02,Connecticut,0,0
164841,2017-01-02,Texas,0,2
164842,2017-01-02,North Carolina,0,0
164843,2017-01-02,Washington,0,0
164844,2017-01-02,Tennessee,0,1
164845,2017-01-02,Florida,0,0
164846,2017-01-02,California,0,1
164847,2017-01-02,Louisiana,0,1
164848,2017-01-02,Louisiana,0,1
164849,2017-01-02,Michigan,0,1
164850,2017-01-02,Texas,0,2
164851,2017-01-02,Tennessee,0,0
164852,2017-01-02,New Jersey,1,0
164853,2017-01-02,Michigan,0,0
164854,2017-01-02,Louisiana,0,1
164855,2017-01-02,Kentucky,0,0
164856,2017-01-02,Illinois,0,0
164857,2017-01-02,Kentucky,0,1
164858,2017-01-02,California,1,0
164859,2017-01-02,Illinois,0,0
164860,2017-01-02,Mississippi,0,1
164861,2017-01-02,New Jersey,0,0
164862,2017-01-02,Maine,0,0
164863,2017-01-02,Ohio,0,1
164864,2017-01-02,New York,0,0
164865,2017-01-02,Maryland,1,0
164866,2017-01-02,North Carolina,0,1
164867,2017-01-02,North Carolina,1,0
164868,2017-01-02,Missouri,1,0
164869,2017-01-02,Ohio,0,1
164870,2017-01-02,Wisconsin,1,0
164872,2017-01-02,Illinois,0,1
164873,2017-01-02,Florida,0,0
164874,2017-01-02,Florida,0,0
164875,2017-01-02,Wisconsin,0,1
164876,2017-01-02,Florida,0,2
164878,2017-01-02,Arkansas,1,0
164879,2017-01-02,North Carolina,0,0
164880,2017-01-02,Illinois,0,1
164881,2017-01-02,District of Columbia,0,1
164882,2017-01-02,New York,0,0
164883,2017-01-02,Illinois,0,1
164884,2017-01-02,Illinois,0,2
164885,2017-01-02,North Carolina,0,0
164886,2017-01-02,Ohio,0,1
164887,2017-01-02,Florida,0,1
164888,2017-01-02,Florida,0,3
164889,2017-01-02,Florida,1,0
164890,2017-01-02,California,0,0
164891,2017-01-02,California,0,1
164892,2017-01-02,Illinois,0,1
164893,2017-01-02,California,0,1
164894,2017-01-02,Florida,0,1
164895,2017-01-02,North Carolina,1,0
164896,2017-01-02,Texas,0,0
164897,2017-01-02,New Jersey,0,1
164898,2017-01-02,Arkansas,0,1
164899,2017-01-02,North Carolina,0,1
164900,2017-01-02,New Jersey,0,0
164901,2017-01-02,Kentucky,0,0
164902,2017-01-02,North Carolina,0,1
164903,2017-01-02,New York,1,1
164904,2017-01-02,New Mexico,0,0
164905,2017-01-02,Massachusetts,0,0
164906,2017-01-02,Virginia,0,1
164907,2017-01-02,Florida,0,0
164908,2017-01-02,Texas,1,0
164909,2017-01-02,North Carolina,0,1
164910,2017-01-02,New York,0,1
164911,2017-01-02,Florida,1,0
164912,2017-01-02,Ohio,1,0
164913,2017-01-02,Arizona,0,0
164914,2017-01-02,Texas,0,1
164915,2017-01-02,Arkansas,1,1
164916,2017-01-02,Indiana,0,1
164917,2017-01-02,North Carolina,0,0
164918,2017-01-02,Mississippi,1,1
164919,2017-01-02,Michigan,0,0
164920,2017-01-02,Michigan,0,0
164921,2017-01-02,Alabama,0,1
164922,2017-01-02,Texas,0,0
164923,2017-01-02,Illinois,1,1
164924,2017-01-02,Georgia,0,1
164925,2017-01-02,Texas,0,0
164926,2017-01-02,Tennessee,0,1
164927,2017-01-02,Louisiana,0,1
164928,2017-01-02,New Jersey,1,0
164929,2017-01-02,Pennsylvania,1,0
164930,2017-01-02,Minnesota,0,0
164931,2017-01-02,Michigan,0,1
164932,2017-01-02,Oklahoma,0,1
164933,2017-01-02,Connecticut,0,0
164934,2017-01-02,Florida,0,1
164935,2017-01-02,Colorado,1,1
164936,2017-01-02,Texas,0,0
164937,2017-01-02,New York,0,1
164938,2017-01-02,Ohio,1,0
164939,2017-01-02,South Carolina,0,1
164940,2017-01-02,Minnesota,0,1
164941,2017-01-02,Pennsylvania,1,0
164942,2017-01-02,Texas,0,0
164943,2017-01-02,Texas,1,0
164944,2017-01-02,Texas,0,1
164945,2017-01-02,Texas,0,1
164946,2017-01-02,North Dakota,0,0
164947,2017-01-02,Kansas,0,1
164948,2017-01-02,Louisiana,0,1
164949,2017-01-02,Oregon,0,0
164950,2017-01-02,Texas,1,0
164951,2017-01-02,California,0,0
164952,2017-01-02,Maryland,0,0
164953,2017-01-02,Iowa,0,0
164954,2017-01-02,Pennsylvania,0,1
164955,2017-01-02,Florida,0,1
164956,2017-01-02,Ohio,0,1
164957,2017-01-02,Kentucky,0,0
164958,2017-01-02,California,0,0
164959,2017-01-02,Michigan,0,1
164960,2017-01-02,South Carolina,0,1
164961,2017-01-02,Tennessee,0,0
164962,2017-01-02,North Carolina,1,0
164963,2017-01-02,Tennessee,0,0
164964,2017-01-02,Texas,0,1
164965,2017-01-02,Massachusetts,0,0
164966,2017-01-02,Kentucky,0,1
164967,2017-01-02,Oregon,1,0
164968,2017-01-02,North Carolina,0,1
164969,2017-01-02,Kansas,0,0
164970,2017-01-02,Iowa,0,0
164971,2017-01-02,Texas,0,0
164972,2017-01-02,Michigan,0,1
164973,2017-01-02,Texas,0,0
164974,2017-01-02,Indiana,0,1
164975,2017-01-02,Wisconsin,0,0
164976,2017-01-02,Illinois,0,1
164977,2017-01-02,Illinois,0,1
164978,2017-01-02,Alabama,0,1
164979,2017-01-02,Indiana,0,0
164980,2017-01-02,New York,0,0
164981,2017-01-02,North Carolina,0,1
164982,2017-01-02,Indiana,1,0
164983,2017-01-02,Vermont,1,1
164984,2017-01-02,North Carolina,0,1
164985,2017-01-02,Indiana,0,1
164986,2017-01-02,Georgia,0,0
164987,2017-01-02,Georgia,1,0
164988,2017-01-02,Maine,0,0
164989,2017-01-02,Texas,0,1
164990,2017-01-02,Missouri,1,0
164991,2017-01-02,Kansas,0,0
164992,2017-01-03,Florida,0,1
164993,2017-01-03,Wisconsin,0,0
164994,2017-01-03,Delaware,0,0
164995,2017-01-03,Wyoming,0,0
164996,2017-01-03,Oregon,0,1
164998,2017-01-03,Florida,0,0
164999,2017-01-03,Pennsylvania,0,0
165000,2017-01-03,North Carolina,0,0
165002,2017-01-03,New Jersey,0,0
165003,2017-01-03,Connecticut,0,1
165004,2017-01-03,Tennessee,1,0
